customer_name,phone_number,amount,payment_date,reference
Merchant Customer 01,+221774454330,5000.00,2026-01-15,WAVE-MERCHANT-20260115-001
Merchant Customer 02,+221780000002,5000.00,2026-01-15,WAVE-MERCHANT-20260115-002
Merchant Customer 03,+221780000003,5000.00,2026-01-15,WAVE-MERCHANT-20260115-003
Merchant Customer 04,+221780000004,5000.00,2026-01-15,WAVE-MERCHANT-20260115-004
Merchant Customer 05,+221780000005,5000.00,2026-01-15,WAVE-MERCHANT-20260115-005
Merchant Customer 06,+221780000006,5000.00,2026-01-15,WAVE-MERCHANT-20260115-006
Merchant Customer 07,+221780000007,5000.00,2026-01-15,WAVE-MERCHANT-20260115-007
Merchant Customer 08,+221780000008,5000.00,2026-01-15,WAVE-MERCHANT-20260115-008
Merchant Customer 09,+221780000009,5000.00,2026-01-15,WAVE-MERCHANT-20260115-009
Merchant Customer 10,+221780000010,5000.00,2026-01-15,WAVE-MERCHANT-20260115-010


