customer_name,phone_number,amount,payment_date,reference
Taxi Rider 01,+221774454330,2500.00,2026-01-15,WAVE-TAXI-20260115-001
Taxi Rider 02,+221770000002,2500.00,2026-01-15,WAVE-TAXI-20260115-002
Taxi Rider 03,+221770000003,2500.00,2026-01-15,WAVE-TAXI-20260115-003
Taxi Rider 04,+221770000004,2500.00,2026-01-15,WAVE-TAXI-20260115-004
Taxi Rider 05,+221770000005,2500.00,2026-01-15,WAVE-TAXI-20260115-005
Taxi Rider 06,+221770000006,2500.00,2026-01-15,WAVE-TAXI-20260115-006
Taxi Rider 07,+221770000007,2500.00,2026-01-15,WAVE-TAXI-20260115-007
Taxi Rider 08,+221770000008,2500.00,2026-01-15,WAVE-TAXI-20260115-008
Taxi Rider 09,+221770000009,2500.00,2026-01-15,WAVE-TAXI-20260115-009
Taxi Rider 10,+221770000010,2500.00,2026-01-15,WAVE-TAXI-20260115-010


